编号,对应资源编号,位置,缩放,旋转X,旋转Y,旋转Z,预制体UUID
number,string,string,string,string,string,string,string
ID,name,position,scale,eulX,eulY,eulZ,prefabUuid
1,1004,"0,0,-7.76","1,1,1",0,0,0,
2,1002,"0,0,1","1,1,1",0,0,0,
3,1002,"0,0,-8.52","1,1,1",0,0,0,
4,1004,"0,0,-17.28","1,1,1",0,0,0,
5,1002,"0,0,5","1,1,1",0,0,0,
6,1002,"0,0,-12.52","1,1,1",0,0,0,
7,1002,"0,0,-18.02","1,1,1",0,0,0,
8,1002,"0,0,-3","1,1,1",0,0,0,
9,1002,"0,0,-22.03","1,1,1",0,0,0,
10,1002,"0,0,-27.54","1,1,1",0,0,0,
11,1004,"0,0,-26.79","1,1,1",0,0,0,
12,1002,"0,0,-31.54","1,1,1",0,0,0,
13,3001,"0,0,-7.7","1,1,1",0,90,0,
14,3001,"0,0,-4.47","1,1,1",0,90,0,
15,3001,"0.24,0,-11.71","1,1,1",0,-90,0,
16,3001,"0.01,0,-18.47","1,1,1",0,-90,0,
17,3001,"0.3,0,-20.22","1,1,1",0,-90,0,
18,3001,"0.01,0,-26.65","1,1,1",0,-90,0,
19,3001,"0.01,0,-30.96","1,1,1",0,-90,0,
20,3001,"-0.1,0,-35.76","1,1,1",0,-90,0,
21,3001,"0.29,0,-39.13","1,1,1",0,-90,0,
22,1002,"0,0,-35.54","1,1,1",0,0,0,
23,1007,"-6.04,0,-47.56","1,1,1",0,90,0,
24,1007,"-8.54,0,-50.06","1,1,1",0,0,0,
25,1005,"-6.04,0,-47.56","1,1,1",0,-90,0,
26,1005,"-3.54,0,-50.06","1,1,1",0,0,0,
27,1002,"-3.58,0,-55.56","1,1,1.1",0,-90,0,
28,1008,"-4,0,-63.53","1,1,1",0,0,0,
29,1006,"-1.5,0,-66.03","1,1,1",0,-90,0,
30,1006,"1,0,-68.53","1,1,1",0,0,0,
31,1007,"-1.5,0,-71.03","1,1,1",0,90,0,
32,1010,"-4,0,-73.53","1,1,1",0,0,0,
33,1004,"-5.95,0,-49.9","1,1,1",0,0,0,
34,1004,"-4.39,0,-58.76","1,1,1",0,0,0,
35,1005,"7.45,0,-55.57","1,1,1",0,0,0,
36,1005,"4.95,0,-53.08","1,1,1",0,-90,0,
37,1007,"2.45,0,-55.57","1,1,1",0,0,0,
38,1006,"0,0,-42.06","1,1,1",0,0,0,
39,1007,"-3.5,0,-44.56","1,1,1",0,90,0,
40,1004,"4.99,0,-55.51","1,1,1",0,0,0,
41,1008,"-1.5,0,-61.04","1,1,1",0,90,0,
42,1002,"2.5,0,-61.04","1,1,1",0,90,0,
43,1007,"-6.04,0,-53.06","1,1,1",0,0,0,
44,1005,"5,0,-58.05","1,1,1",0,0,0,
45,1005,"2.45,0,-55.58","1,1,1",0,-179.8,0,
46,1004,"1.82,0,-43.6","1,1,1",0,0,0,
47,1004,"4.86,0,-46.59","1,1,1",0,0,0,
48,1002,"4.88,0,-47.59","1,1,1",0,0,0,
49,1004,"3.94,0,-44.38","1,1,1",0,0,0,
50,1001,"0,0,-40.23","1,1,0.85",0,0,0,
51,1001,"0,0,-41.07","1,1,1",0,0,0,
52,1001,"0.85,0,-55.56","1,1,1.1",0,-90,0,
53,1001,"-2.5,0,-44.56","1,1,1",0,90,0,
54,1001,"4.88,0,-51.58","1,1,1",0,0,0,
55,2003,"-6.23,0,-46.17","1,1,1",0,0,0,
56,2003,"-5.73,0,-46.17","1,1,1",0,0,0,
57,2002,"-0.25,0,-41.54","1,1,1",0,0,0,
58,2002,"0.25,0,-41.54","1,1,1",0,0,0,
59,2002,"4.14,0,-44.27","1,1,1",0,146.37,0,
60,2002,"3.73,0,-44.55","1,1,1",0,146.37,0,
61,2002,"-2.73,0,-44.82","1,1,1",0,90,0,
62,2002,"-2.73,0,-44.32","1,1,1",0,90,0,
63,2002,"-0.61,0,-43.66","1,1,1",0,38.09,0,
64,2001,"-3.29,0,-49.63","1,1,1",0,0,0,
65,2001,"-3.79,0,-50.59","1,1,1",0,0,0,
66,2001,"5.11,0,-50.74","1,1,1",0,0,0,
67,2001,"4.61,0,-50.73","1,1,1",0,0,0,
68,2002,"6.06,0,-52.82","1,1,1",0,90,0,
69,2002,"6.06,0,-53.32","1,1,1",0,90,0,
