编号,对应资源编号,位置,缩放,角度,预制体UUID
number,string,string,string,string,string
ID,name,position,scale,eulY,prefabUuid
1,1004,"0,0,-7.76","1,1,1",0,
2,1002,"0,0,1","1,1,1",0,
3,1002,"0,0,-8.52","1,1,1",0,
4,1004,"0,0,-17.28","1,1,1",0,
5,1002,"0,0,5","1,1,1",0,
6,1002,"0,0,-12.52","1,1,1",0,
7,1002,"0,0,-18.02","1,1,1",0,
8,1002,"0,0,-3","1,1,1",0,
9,1002,"0,0,-22.03","1,1,1",0,
10,1002,"0,0,-27.54","1,1,1",0,
11,1004,"0,0,-26.79","1,1,1",0,
12,1002,"0,0,-31.54","1,1,1",0,
13,1004,"0,0,-46.53","1,1,1",0,
14,1002,"0,0,-39.53","1,1,1",0,
15,1007,"0,0,-44.03","1,1,1",89.99999999999999,
16,1007,"-2.5,0,-46.53","1,1,1",0,
17,1002,"0,0,-49.53","1,1,1",0,
18,1005,"0,0,-44.03","1,1,1",-89.99999999999999,
19,1005,"2.5,0,-46.53","1,1,1",0,
20,1006,"0,0,-53.53","1,1,1",0,
21,1002,"-2.5,0,-56.03","1,1,1",89.99999999999999,
22,1007,"-6.5,0,-56.03","1,1,1",89.99999999999999,
23,1007,"-9,0,-58.53","1,1,1",0,
24,1006,"-6.5,0,-61.03","1,1,1",-89.99999999999999,
25,1008,"-4,0,-63.53","1,1,1",0,
26,1006,"-1.5,0,-66.03","1,1,1",-89.99999999999999,
27,1006,"1,0,-68.53","1,1,1",0,
28,1007,"-1.5,0,-71.03","1,1,1",89.99999999999999,
29,1010,"-4,0,-73.53","1,1,1",0,
45,1004,"-3,0,-52.53","1,1,1",0,
46,1004,"-3,0,-59.03","1,1,1",0,
47,2003,"-0.25,0,-46.53","1,1,1",0,
48,2002,"-0.25,0,-42.53","1,1,1",0,
49,2003,"0.25,0,-46.53","1,1,1",0,
50,2002,"0.25,0,-42.53","1,1,1",0,
51,2002,"1,0,-43.78","1,1,1",89.99999999999999,
52,2002,"1,0,-44.28","1,1,1",89.99999999999999,
53,2002,"-1,0,-44.28","1,1,1",89.99999999999999,
54,2002,"-1,0,-43.78","1,1,1",89.99999999999999,
55,2002,"-2,0,-44.28","1,1,1",45.00000000000001,
56,2002,"2,0,-44.28","1,1,1",-45.00000000000001,
57,2001,"-2.25,0,-46.83","1,1,1",0,
58,2001,"-2.75,0,-46.23","1,1,1",0,
59,2001,"2.75,0,-46.23","1,1,1",0,
60,2001,"2.25,0,-46.83","1,1,1",0,
61,2002,"1,0,-48.78","1,1,1",89.99999999999999,
62,2002,"1,0,-49.28","1,1,1",89.99999999999999,
63,2002,"-1,0,-49.28","1,1,1",89.99999999999999,
64,2002,"-1,0,-48.78","1,1,1",89.99999999999999,
65,2001,"-0.25,0,-51.53","1,1,1",0,
66,2001,"0.25,0,-51.53","1,1,1",0,
67,2003,"-3.25,0,-52.53","1,1,1",45.00000000000001,
68,2003,"-2.75,0,-52.53","1,1,1",45.00000000000001,
69,2003,"-3.25,0,-59.03","1,1,1",0,
70,2003,"-2.75,0,-59.03","1,1,1",0,
71,2002,"0.25,0,-53.53","1,1,1",0,
72,2002,"-0.25,0,-53.53","1,1,1",0,
73,2002,"-2.5,0,-56.28","1,1,1",89.99999999999999,
74,2002,"-2.5,0,-55.66","1,1,1",89.99999999999999,
75,2002,"-0.4,0,-54.91","1,1,1",29.999999999999993,
76,2002,"-1.25,0,-55.66","1,1,1",59.99999999999999,
77,2002,"-2.25,0,-48.53","1,1,1",-45.00000000000001,
78,2002,"2.25,0,-48.53","1,1,1",45.00000000000001,
